district,twitter,web_name,db_name
1,senatorlavalle,Kenneth P. LaValle,Kenneth P. LaValle
2,LeaderFlanagan,John J. Flanagan,John J. Flanagan
3,tomcroci,Thomas D. Croci,Monica R. Martinez
4,PhilBoyleNY,Philip M. Boyle,Phil Boyle
5,Senator98,Carl L. Marcellino,James Gaughran
6,HannonSenate,Kemp Hannon,Kevin Thomas
7,,Elaine Phillips,Anna Kaplan
8,Brooks4LINY,John Brooks,John E. Brooks
9,toddkaminsky,Todd Kaminsky,Todd Kaminsky
10,JSandersNYC,"James Sanders, Jr.",James Sanders Jr.
11,TonyAvella,Tony Avella,John Liu
12,SenGianaris,Michael N. Gianaris,Michael Gianaris
13,SenatorPeralta,Jose Peralta,Jessica Ramos
14,LeroyComrie,Leroy Comrie,Leroy Comrie
15,,"Joseph Addabbo, Jr.",Joseph P. Addabbo Jr
16,tobystavisky,Toby Ann Stavisky,Toby Ann Stavisky
17,NYSenatorFelder,Simcha Felder,Simcha Felder
18,SenatorDilan,Martin Malave Dilan,Julia Salazar
19,SenatorPersaud,Roxanne J. Persaud,Roxanne J. Persaud
20,SenatorHamilton,Jesse Hamilton,Zellnor Myrie
21,SenatorParker,Kevin S. Parker,Kevin S. Parker
22,SenMartyGolden,Martin J. Golden,Andrew Gounardes
23,dianesavino,Diane Savino,Diane J. Savino
24,senatorlanza,Andrew J. Lanza,Andrew J. Lanza
25,,Velmanette Montgomery,Velmanette Montgomery
26,DanielSquadron,Daniel Squadron,Brian Kavanagh
27,bradhoylman,Brad Hoylman,Brad Hoylman
28,LizKrueger,Liz Krueger,Liz Krueger
29,SenatorSerrano,Jose M. Serrano,José M. Serrano
30,,Bill Perkins,Brian A. Benjamin
31,NY31Alcantara,Marisol Alcantara,Robert Jackson
32,revrubendiaz,"Rubén Díaz, Sr.",Luis R. Sepúlveda
33,NYSenatorRivera,Gustavo Rivera,Gustavo Rivera
34,JeffKleinNY,Jeffrey D. Klein,Alessandra Biaggi
35,AndreaSCousins,Andrea Stewart-Cousins,Andrea Stewart-Cousins
36,jamaaltbailey,Jamaal T. Bailey,Jamaal T. Bailey
37,GeorgeLatimer37,George S. Latimer,Shelley Mayer
38,davidcarlucci,David Carlucci,David Carlucci
39,SenatorLarkin,"William J. Larkin, Jr.",James Skoufis
40,vote4murphy,Terrence P. Murphy,Peter Harckham
41,Sueserino4ny,Susan J. Serino,Sue Serino
42,JohnBonacic,John J. Bonacic,Jen Metzger
43,kathymarchione,Kathleen A. Marchione,Daphne Jordan
44,SenatorBreslin,Neil Breslin,Neil D. Breslin
45,bettylittle,Betty Little,Betty Little
46,GeorgeAmedore,"George A. Amedore, Jr.","George A. Amedore, Jr."
47,SenGriffo,Joseph Griffo,Joseph A. Griffo
48,SenatorRitchie,Patty Ritchie,Patty Ritchie
49,JamesTedisco,Jim Tedisco,James Tedisco
50,JohnDeFrancisco,John DeFrancisco,Robert E. Antonacci
51,,James Seward,James L. Seward
52,fredakshar,Fred Akshar,Fred Akshar
53,SenDaveValesky,David Valesky,Rachel May
54,Helming4Senate,Pam Helming,Pamela Helming
55,SenatorFunke,Richard Funke,Rich Funke
56,SenatorRobach,Joseph Robach,Joseph E. Robach
57,SenatorYoung,Catharine Young,Catharine Young
58,SenatorOMara,Tom O’Mara,Thomas F. O'Mara
59,senatorgallivan,Patrick Gallivan,Patrick M. Gallivan
60,JacobsforSenate,Chris Jacobs,Chris Jacobs
61,,Michael H. Ranzenhofer,Michael H. Ranzenhofer
62,SenatorOrtt,Robert G. Ortt,Robert G. Ortt
63,SenKennedy,Timothy M. Kennedy,Timothy M. Kennedy


